Model,Term,Coefficient,Std. Error,p-value,95% CI Lower,95% CI Upper
Model 1: Lifestyle only,Intercept,11.9148,6.421,0.065243,-0.7604,24.5901
Model 1: Lifestyle only,obesity_value,0.2508,0.086,0.004034,0.081,0.4206
Model 1: Lifestyle only,activity_value,-0.0166,0.0716,0.817369,-0.1578,0.1247
Model 2: Lifestyle + GDP,Intercept,-44.7474,5.6254,0.0,-55.8526,-33.6422
Model 2: Lifestyle + GDP,obesity_value,-0.042,0.0595,0.481376,-0.1594,0.0754
Model 2: Lifestyle + GDP,activity_value,0.0917,0.0473,0.054327,-0.0017,0.1851
Model 2: Lifestyle + GDP,log_gdp,6.2671,0.4143,0.0,5.4493,7.0849
Model 3: Lifestyle + GDP + Region,Intercept,-16.299,5.8487,0.005952,-27.8476,-4.7505
Model 3: Lifestyle + GDP + Region,C(region)[T.Americas],1.7106,1.8391,0.353662,-1.9207,5.342
Model 3: Lifestyle + GDP + Region,C(region)[T.Asia],2.3774,1.4392,0.100466,-0.4643,5.2191
Model 3: Lifestyle + GDP + Region,C(region)[T.Europe],12.7796,1.7527,0.0,9.3188,16.2405
Model 3: Lifestyle + GDP + Region,C(region)[T.Middle East],-1.9917,2.265,0.380507,-6.464,2.4806
Model 3: Lifestyle + GDP + Region,C(region)[T.Oceania],6.8694,2.6543,0.01052,1.6283,12.1104
Model 3: Lifestyle + GDP + Region,obesity_value,-0.0075,0.0614,0.902343,-0.1288,0.1137
Model 3: Lifestyle + GDP + Region,activity_value,-0.0611,0.0477,0.202007,-0.1552,0.0331
Model 3: Lifestyle + GDP + Region,log_gdp,3.7945,0.4627,0.0,2.8809,4.7082
